milk,country,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
4,4,29,0,106,7,11,26,192,0,0
4,71,47,0,93,9,16,547,33,0,0
4,33,39,0,250,5,7,405,207,1,0
4,35,38,0,157,9,13,354,87,0,0
4,77,21,0,89,7,11,233,28,1,0
4,27,38,0,292,11,16,501,78,0,0
4,72,20,0,233,7,7,537,207,1,0
4,77,20,0,93,9,11,119,152,1,0
4,77,20,0,93,7,15,141,259,1,0
13,77,34,0,93,8,15,460,235,0,0
9,77,39,0,93,7,11,506,106,1,0
4,77,20,0,250,2,15,349,94,1,0
4,77,21,0,160,7,11,417,215,0,0
4,77,20,0,93,7,11,348,169,1,0
4,77,38,0,93,7,11,267,258,0,0
4,77,34,0,250,7,11,575,297,1,0
4,77,21,0,93,7,16,120,224,1,0
4,77,21,0,94,6,11,266,285,0,0
4,77,39,0,112,7,11,218,170,0,0
4,77,21,0,93,7,11,98,169,1,0
4,77,21,0,160,9,11,347,169,1,0
4,72,21,0,229,7,16,77,36,0,0
4,74,27,0,93,8,11,298,127,0,0
4,77,21,0,234,7,11,550,117,1,0
5,77,39,0,213,7,11,88,268,1,0
4,32,20,0,191,7,16,375,288,0,0
4,77,14,0,264,9,8,391,130,1,0
4,77,39,0,93,7,15,567,182,0,0
4,31,39,0,93,7,15,426,127,1,0
4,31,39,0,93,7,15,234,179,1,0
4,77,21,0,250,9,11,592,285,1,0
4,4,0,0,93,2,15,449,232,1,0
4,74,38,0,94,2,16,287,181,1,0
4,74,38,0,160,7,9,210,285,1,0
4,77,21,0,160,7,16,235,42,0,0
4,19,61,0,93,8,16,287,127,1,0
4,74,20,0,94,7,11,262,157,0,0
1,39,33,0,222,10,16,542,294,1,0
4,77,39,0,199,7,11,507,237,1,0
4,74,26,0,94,7,11,351,0,1,0
4,74,20,0,1,7,9,488,75,1,0
4,67,20,0,78,11,11,339,59,0,0
4,30,61,0,19,10,16,372,279,0,0
4,31,21,0,160,7,16,469,131,1,0
4,77,39,0,180,7,11,291,58,1,0
1,39,33,0,222,10,15,542,11,0,0
4,35,50,0,116,10,15,34,44,0,0
4,35,50,0,284,10,11,474,117,0,0
18,26,21,0,250,7,11,53,42,0,0
4,71,52,0,93,7,0,541,304,0,0
18,77,2,0,261,7,0,245,285,1,0
4,74,47,0,156,7,0,247,301,0,0
4,74,78,0,171,10,9,514,299,1,0
4,77,49,0,180,10,14,598,0,0,0
4,77,48,0,154,10,14,485,96,1,0
4,35,50,0,279,10,15,157,250,0,0
18,35,1,0,244,7,6,294,285,0,0
4,48,73,0,176,7,15,283,44,1,0
14,44,32,0,180,7,15,552,304,0,0
13,77,48,0,101,9,15,594,310,1,0
4,50,54,0,57,10,16,11,108,1,0
4,71,63,0,93,6,8,596,304,0,0
4,77,52,0,94,7,14,400,111,1,0
4,52,47,0,160,7,15,506,127,0,0
4,34,52,0,93,6,11,540,60,0,0
4,35,61,0,236,7,16,530,228,0,0
4,77,40,0,39,7,16,453,47,0,0
4,67,47,0,93,7,0,359,304,1,0
4,30,62,0,160,7,15,146,195,0,0
4,30,62,0,160,7,14,472,101,1,0
18,31,62,0,231,6,15,143,38,1,0
18,52,52,0,93,9,4,596,158,0,0
4,40,47,0,85,7,11,543,294,0,0
18,35,47,0,235,7,8,149,64,1,0
4,33,63,0,160,7,4,210,75,1,0
4,40,68,0,171,6,4,292,33,0,0
4,77,40,0,114,7,4,126,202,0,0
4,30,68,0,160,0,11,210,119,0,0
18,30,68,0,279,7,8,421,127,1,0
18,77,49,0,106,6,11,69,227,1,0
6,73,54,0,113,10,10,494,217,1,0
6,65,48,0,133,7,8,139,181,0,0
4,77,35,0,35,9,8,155,228,1,0
18,77,42,0,250,7,8,378,278,1,0
4,74,68,0,176,7,9,306,164,1,0
4,14,49,0,101,7,11,285,252,0,0
4,35,48,0,160,7,8,109,304,1,0
4,35,68,0,160,7,0,548,87,0,0
4,35,52,0,93,9,15,477,304,0,0
4,14,49,0,94,7,4,482,114,0,0
4,14,68,0,170,6,4,253,279,0,0
4,52,68,0,171,10,15,279,172,0,0
9,52,68,0,285,5,8,302,304,1,0
19,52,35,0,94,7,4,35,145,0,0
17,74,61,0,175,6,0,256,248,1,1
